pid, time, age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, education, marital-status, occupation, native-country, workclass, relationship, race, sex, income
0, 0, 39,77516,13,2174,0,40,Bachelors,Never-married,Adm-clerical,United-States,State-gov,Not-in-family,White,Male,<=50K
1, 1, 50,83311,13,0,0,13,Bachelors,Married-civ-spouse,Exec-managerial,United-States,Self-emp-not-inc,Husband,White,Male,<=50K
2, 2, 38,215646,9,0,0,40,HS-grad,Divorced,Handlers-cleaners,United-States,Private,Not-in-family,White,Male,<=50K
3, 3, 53,234721,7,0,0,40,11th,Married-civ-spouse,Handlers-cleaners,United-States,Private,Husband,Black,Male,<=50K
4, 4, 28,338409,13,0,0,40,Bachelors,Married-civ-spouse,Prof-specialty,Cuba,Private,Wife,Black,Female,<=50K
5, 5, 37,284582,14,0,0,40,Masters,Married-civ-spouse,Exec-managerial,United-States,Private,Wife,White,Female,<=50K
6, 6, 49,160187,5,0,0,16,9th,Married-spouse-absent,Other-service,Jamaica,Private,Not-in-family,Black,Female,<=50K
7, 7, 52,209642,9,0,0,45,HS-grad,Married-civ-spouse,Exec-managerial,United-States,Self-emp-not-inc,Husband,White,Male,>50K
8, 8, 31,45781,14,14084,0,50,Masters,Never-married,Prof-specialty,United-States,Private,Not-in-family,White,Female,>50K
9, 9, 42,159449,13,5178,0,40,Bachelors,Married-civ-spouse,Exec-managerial,United-States,Private,Husband,White,Male,>50K
10, 10, 37,280464,10,0,0,80,Some-college,Married-civ-spouse,Exec-managerial,United-States,Private,Husband,Black,Male,>50K
11, 11, 30,141297,13,0,0,40,Bachelors,Married-civ-spouse,Prof-specialty,India,State-gov,Husband,Asian-Pac-Islander,Male,>50K
12, 12, 23,122272,13,0,0,30,Bachelors,Never-married,Adm-clerical,United-States,Private,Own-child,White,Female,<=50K
13, 13, 32,205019,12,0,0,50,Assoc-acdm,Never-married,Sales,United-States,Private,Not-in-family,Black,Male,<=50K
14, 14, 34,245487,4,0,0,45,7th-8th,Married-civ-spouse,Transport-moving,Mexico,Private,Husband,Amer-Indian-Eskimo,Male,<=50K
15, 15, 25,176756,9,0,0,35,HS-grad,Never-married,Farming-fishing,United-States,Self-emp-not-inc,Own-child,White,Male,<=50K
16, 16, 32,186824,9,0,0,40,HS-grad,Never-married,Machine-op-inspct,United-States,Private,Unmarried,White,Male,<=50K
17, 17, 38,28887,7,0,0,50,11th,Married-civ-spouse,Sales,United-States,Private,Husband,White,Male,<=50K
18, 18, 43,292175,14,0,0,45,Masters,Divorced,Exec-managerial,United-States,Self-emp-not-inc,Unmarried,White,Female,>50K
19, 19, 40,193524,16,0,0,60,Doctorate,Married-civ-spouse,Prof-specialty,United-States,Private,Husband,White,Male,>50K
20, 20, 54,302146,9,0,0,20,HS-grad,Separated,Other-service,United-States,Private,Unmarried,Black,Female,<=50K
21, 21, 35,76845,5,0,0,40,9th,Married-civ-spouse,Farming-fishing,United-States,Federal-gov,Husband,Black,Male,<=50K
22, 22, 43,117037,7,0,2042,40,11th,Married-civ-spouse,Transport-moving,United-States,Private,Husband,White,Male,<=50K
23, 23, 59,109015,9,0,0,40,HS-grad,Divorced,Tech-support,United-States,Private,Unmarried,White,Female,<=50K
24, 24, 56,216851,13,0,0,40,Bachelors,Married-civ-spouse,Tech-support,United-States,Local-gov,Husband,White,Male,>50K
25, 25, 19,168294,9,0,0,40,HS-grad,Never-married,Craft-repair,United-States,Private,Own-child,White,Male,<=50K
26, 26, 39,367260,9,0,0,80,HS-grad,Divorced,Exec-managerial,United-States,Private,Not-in-family,White,Male,<=50K
27, 27, 49,193366,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,United-States,Private,Husband,White,Male,<=50K
28, 28, 23,190709,12,0,0,52,Assoc-acdm,Never-married,Protective-serv,United-States,Local-gov,Not-in-family,White,Male,<=50K
29, 29, 20,266015,10,0,0,44,Some-college,Never-married,Sales,United-States,Private,Own-child,Black,Male,<=50K
30, 30, 45,386940,13,0,1408,40,Bachelors,Divorced,Exec-managerial,United-States,Private,Own-child,White,Male,<=50K
31, 31, 30,59951,10,0,0,40,Some-college,Married-civ-spouse,Adm-clerical,United-States,Federal-gov,Own-child,White,Male,<=50K
32, 32, 22,311512,10,0,0,15,Some-college,Married-civ-spouse,Other-service,United-States,State-gov,Husband,Black,Male,<=50K
33, 33, 48,242406,7,0,0,40,11th,Never-married,Machine-op-inspct,Puerto-Rico,Private,Unmarried,White,Male,<=50K
34, 34, 21,197200,10,0,0,40,Some-college,Never-married,Machine-op-inspct,United-States,Private,Own-child,White,Male,<=50K
35, 35, 19,544091,9,0,0,25,HS-grad,Married-AF-spouse,Adm-clerical,United-States,Private,Wife,White,Female,<=50K
36, 36, 48,265477,12,0,0,40,Assoc-acdm,Married-civ-spouse,Prof-specialty,United-States,Self-emp-not-inc,Husband,White,Male,<=50K
37, 37, 31,507875,5,0,0,43,9th,Married-civ-spouse,Machine-op-inspct,United-States,Private,Husband,White,Male,<=50K
38, 38, 53,88506,13,0,0,40,Bachelors,Married-civ-spouse,Prof-specialty,United-States,Self-emp-not-inc,Husband,White,Male,<=50K
39, 39, 24,172987,13,0,0,50,Bachelors,Married-civ-spouse,Tech-support,United-States,Private,Husband,White,Male,<=50K
40, 40, 49,94638,9,0,0,40,HS-grad,Separated,Adm-clerical,United-States,Private,Unmarried,White,Female,<=50K
41, 41, 25,289980,9,0,0,35,HS-grad,Never-married,Handlers-cleaners,United-States,Private,Not-in-family,White,Male,<=50K
42, 42, 57,337895,13,0,0,40,Bachelors,Married-civ-spouse,Prof-specialty,United-States,Federal-gov,Husband,Black,Male,>50K
43, 43, 53,144361,9,0,0,38,HS-grad,Married-civ-spouse,Machine-op-inspct,United-States,Private,Husband,White,Male,<=50K
44, 44, 44,128354,14,0,0,40,Masters,Divorced,Exec-managerial,United-States,Private,Unmarried,White,Female,<=50K
45, 45, 41,101603,11,0,0,40,Assoc-voc,Married-civ-spouse,Craft-repair,United-States,State-gov,Husband,White,Male,<=50K
46, 46, 29,271466,11,0,0,43,Assoc-voc,Never-married,Prof-specialty,United-States,Private,Not-in-family,White,Male,<=50K
47, 47, 25,32275,10,0,0,40,Some-college,Married-civ-spouse,Exec-managerial,United-States,Private,Wife,Other,Female,<=50K
48, 48, 47,51835,15,0,1902,60,Prof-school,Married-civ-spouse,Prof-specialty,Honduras,Private,Wife,White,Female,>50K
49, 49, 50,251585,13,0,0,55,Bachelors,Divorced,Exec-managerial,United-States,Federal-gov,Not-in-family,White,Male,>50K
50, 50, 47,109832,9,0,0,60,HS-grad,Divorced,Exec-managerial,United-States,Self-emp-inc,Not-in-family,White,Male,<=50K
51, 51, 43,237993,10,0,0,40,Some-college,Married-civ-spouse,Tech-support,United-States,Private,Husband,White,Male,>50K
52, 52, 46,216666,3,0,0,40,5th-6th,Married-civ-spouse,Machine-op-inspct,Mexico,Private,Husband,White,Male,<=50K
53, 53, 35,56352,11,0,0,40,Assoc-voc,Married-civ-spouse,Other-service,Puerto-Rico,Private,Husband,White,Male,<=50K
54, 54, 41,147372,9,0,0,48,HS-grad,Married-civ-spouse,Adm-clerical,United-States,Private,Husband,White,Male,<=50K
55, 55, 30,188146,9,5013,0,40,HS-grad,Married-civ-spouse,Machine-op-inspct,United-States,Private,Husband,White,Male,<=50K
56, 56, 30,59496,13,2407,0,40,Bachelors,Married-civ-spouse,Sales,United-States,Private,Husband,White,Male,<=50K
57, 57, 48,149640,9,0,0,40,HS-grad,Married-civ-spouse,Transport-moving,United-States,Private,Husband,White,Male,<=50K
58, 58, 42,116632,16,0,0,45,Doctorate,Married-civ-spouse,Prof-specialty,United-States,Private,Husband,White,Male,>50K
59, 59, 29,105598,10,0,0,58,Some-college,Divorced,Tech-support,United-States,Private,Not-in-family,White,Male,<=50K
60, 60, 36,155537,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,United-States,Private,Husband,White,Male,<=50K
61, 61, 28,183175,10,0,0,40,Some-college,Divorced,Adm-clerical,United-States,Private,Not-in-family,White,Female,<=50K
62, 62, 53,169846,9,0,0,40,HS-grad,Married-civ-spouse,Adm-clerical,United-States,Private,Wife,White,Female,>50K
63, 63, 49,191681,10,0,0,50,Some-college,Married-civ-spouse,Exec-managerial,United-States,Self-emp-inc,Husband,White,Male,>50K
64, 64, 19,101509,10,0,0,32,Some-college,Never-married,Prof-specialty,United-States,Private,Own-child,White,Male,<=50K
65, 65, 31,309974,13,0,0,40,Bachelors,Separated,Sales,United-States,Private,Own-child,Black,Female,<=50K
66, 66, 29,162298,13,0,0,70,Bachelors,Married-civ-spouse,Sales,United-States,Self-emp-not-inc,Husband,White,Male,>50K
67, 67, 23,211678,10,0,0,40,Some-college,Never-married,Machine-op-inspct,United-States,Private,Not-in-family,White,Male,<=50K
68, 68, 79,124744,10,0,0,20,Some-college,Married-civ-spouse,Prof-specialty,United-States,Private,Other-relative,White,Male,<=50K
69, 69, 27,213921,9,0,0,40,HS-grad,Never-married,Other-service,Mexico,Private,Own-child,White,Male,<=50K
70, 70, 40,32214,12,0,0,40,Assoc-acdm,Married-civ-spouse,Adm-clerical,United-States,Private,Husband,White,Male,<=50K
71, 71, 18,309634,7,0,0,22,11th,Never-married,Other-service,United-States,Private,Own-child,White,Female,<=50K
72, 72, 31,125927,4,0,0,40,7th-8th,Married-civ-spouse,Farming-fishing,United-States,Local-gov,Husband,White,Male,<=50K
73, 73, 18,446839,9,0,0,30,HS-grad,Never-married,Sales,United-States,Private,Not-in-family,White,Male,<=50K
74, 74, 52,276515,13,0,0,40,Bachelors,Married-civ-spouse,Other-service,Cuba,Private,Husband,White,Male,<=50K
75, 75, 46,51618,9,0,0,40,HS-grad,Married-civ-spouse,Other-service,United-States,Private,Wife,White,Female,<=50K
76, 76, 59,159937,9,0,0,48,HS-grad,Married-civ-spouse,Sales,United-States,Private,Husband,White,Male,<=50K
77, 77, 44,343591,9,14344,0,40,HS-grad,Divorced,Craft-repair,United-States,Private,Not-in-family,White,Female,>50K
78, 78, 53,346253,9,0,0,35,HS-grad,Divorced,Sales,United-States,Private,Own-child,White,Female,<=50K
79, 79, 49,268234,9,0,0,40,HS-grad,Married-civ-spouse,Protective-serv,United-States,Local-gov,Husband,White,Male,>50K
80, 80, 33,202051,14,0,0,50,Masters,Married-civ-spouse,Prof-specialty,United-States,Private,Husband,White,Male,<=50K
81, 81, 30,54334,5,0,0,40,9th,Never-married,Sales,United-States,Private,Not-in-family,White,Male,<=50K
