pid, time, age, native-country, fnlwgt, occupation, education-num, marital-status, capital-gain, education, capital-loss, hours-per-week, workclass, relationship, race, sex, income
0, 0, 39,United-States,77516,Adm-clerical,13,Never-married,2174,Bachelors,0,40,State-gov,Not-in-family,White,Male,<=50K
1, 1, 50,United-States,83311,Exec-managerial,13,Married-civ-spouse,0,Bachelors,0,13,Self-emp-not-inc,Husband,White,Male,<=50K
2, 2, 38,United-States,215646,Handlers-cleaners,9,Divorced,0,HS-grad,0,40,Private,Not-in-family,White,Male,<=50K
3, 3, 53,United-States,234721,Handlers-cleaners,7,Married-civ-spouse,0,11th,0,40,Private,Husband,Black,Male,<=50K
4, 4, 28,Cuba,338409,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,40,Private,Wife,Black,Female,<=50K
5, 5, 37,United-States,284582,Exec-managerial,14,Married-civ-spouse,0,Masters,0,40,Private,Wife,White,Female,<=50K
6, 6, 49,Jamaica,160187,Other-service,5,Married-spouse-absent,0,9th,0,16,Private,Not-in-family,Black,Female,<=50K
7, 7, 52,United-States,209642,Exec-managerial,9,Married-civ-spouse,0,HS-grad,0,45,Self-emp-not-inc,Husband,White,Male,>50K
8, 8, 31,United-States,45781,Prof-specialty,14,Never-married,14084,Masters,0,50,Private,Not-in-family,White,Female,>50K
9, 9, 42,United-States,159449,Exec-managerial,13,Married-civ-spouse,5178,Bachelors,0,40,Private,Husband,White,Male,>50K
10, 10, 37,United-States,280464,Exec-managerial,10,Married-civ-spouse,0,Some-college,0,80,Private,Husband,Black,Male,>50K
11, 11, 30,India,141297,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,40,State-gov,Husband,Asian-Pac-Islander,Male,>50K
12, 12, 23,United-States,122272,Adm-clerical,13,Never-married,0,Bachelors,0,30,Private,Own-child,White,Female,<=50K
13, 13, 32,United-States,205019,Sales,12,Never-married,0,Assoc-acdm,0,50,Private,Not-in-family,Black,Male,<=50K
14, 14, 34,Mexico,245487,Transport-moving,4,Married-civ-spouse,0,7th-8th,0,45,Private,Husband,Amer-Indian-Eskimo,Male,<=50K
15, 15, 25,United-States,176756,Farming-fishing,9,Never-married,0,HS-grad,0,35,Self-emp-not-inc,Own-child,White,Male,<=50K
16, 16, 32,United-States,186824,Machine-op-inspct,9,Never-married,0,HS-grad,0,40,Private,Unmarried,White,Male,<=50K
17, 17, 38,United-States,28887,Sales,7,Married-civ-spouse,0,11th,0,50,Private,Husband,White,Male,<=50K
18, 18, 43,United-States,292175,Exec-managerial,14,Divorced,0,Masters,0,45,Self-emp-not-inc,Unmarried,White,Female,>50K
19, 19, 40,United-States,193524,Prof-specialty,16,Married-civ-spouse,0,Doctorate,0,60,Private,Husband,White,Male,>50K
20, 20, 54,United-States,302146,Other-service,9,Separated,0,HS-grad,0,20,Private,Unmarried,Black,Female,<=50K
21, 21, 35,United-States,76845,Farming-fishing,5,Married-civ-spouse,0,9th,0,40,Federal-gov,Husband,Black,Male,<=50K
22, 22, 43,United-States,117037,Transport-moving,7,Married-civ-spouse,0,11th,2042,40,Private,Husband,White,Male,<=50K
23, 23, 59,United-States,109015,Tech-support,9,Divorced,0,HS-grad,0,40,Private,Unmarried,White,Female,<=50K
24, 24, 56,United-States,216851,Tech-support,13,Married-civ-spouse,0,Bachelors,0,40,Local-gov,Husband,White,Male,>50K
25, 25, 19,United-States,168294,Craft-repair,9,Never-married,0,HS-grad,0,40,Private,Own-child,White,Male,<=50K
26, 26, 39,United-States,367260,Exec-managerial,9,Divorced,0,HS-grad,0,80,Private,Not-in-family,White,Male,<=50K
27, 27, 49,United-States,193366,Craft-repair,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
28, 28, 23,United-States,190709,Protective-serv,12,Never-married,0,Assoc-acdm,0,52,Local-gov,Not-in-family,White,Male,<=50K
29, 29, 20,United-States,266015,Sales,10,Never-married,0,Some-college,0,44,Private,Own-child,Black,Male,<=50K
30, 30, 45,United-States,386940,Exec-managerial,13,Divorced,0,Bachelors,1408,40,Private,Own-child,White,Male,<=50K
31, 31, 30,United-States,59951,Adm-clerical,10,Married-civ-spouse,0,Some-college,0,40,Federal-gov,Own-child,White,Male,<=50K
32, 32, 22,United-States,311512,Other-service,10,Married-civ-spouse,0,Some-college,0,15,State-gov,Husband,Black,Male,<=50K
33, 33, 48,Puerto-Rico,242406,Machine-op-inspct,7,Never-married,0,11th,0,40,Private,Unmarried,White,Male,<=50K
34, 34, 21,United-States,197200,Machine-op-inspct,10,Never-married,0,Some-college,0,40,Private,Own-child,White,Male,<=50K
35, 35, 19,United-States,544091,Adm-clerical,9,Married-AF-spouse,0,HS-grad,0,25,Private,Wife,White,Female,<=50K
36, 36, 48,United-States,265477,Prof-specialty,12,Married-civ-spouse,0,Assoc-acdm,0,40,Self-emp-not-inc,Husband,White,Male,<=50K
37, 37, 31,United-States,507875,Machine-op-inspct,5,Married-civ-spouse,0,9th,0,43,Private,Husband,White,Male,<=50K
38, 38, 53,United-States,88506,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,40,Self-emp-not-inc,Husband,White,Male,<=50K
39, 39, 24,United-States,172987,Tech-support,13,Married-civ-spouse,0,Bachelors,0,50,Private,Husband,White,Male,<=50K
40, 40, 49,United-States,94638,Adm-clerical,9,Separated,0,HS-grad,0,40,Private,Unmarried,White,Female,<=50K
41, 41, 25,United-States,289980,Handlers-cleaners,9,Never-married,0,HS-grad,0,35,Private,Not-in-family,White,Male,<=50K
42, 42, 57,United-States,337895,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,40,Federal-gov,Husband,Black,Male,>50K
43, 43, 53,United-States,144361,Machine-op-inspct,9,Married-civ-spouse,0,HS-grad,0,38,Private,Husband,White,Male,<=50K
44, 44, 44,United-States,128354,Exec-managerial,14,Divorced,0,Masters,0,40,Private,Unmarried,White,Female,<=50K
45, 45, 41,United-States,101603,Craft-repair,11,Married-civ-spouse,0,Assoc-voc,0,40,State-gov,Husband,White,Male,<=50K
46, 46, 29,United-States,271466,Prof-specialty,11,Never-married,0,Assoc-voc,0,43,Private,Not-in-family,White,Male,<=50K
47, 47, 25,United-States,32275,Exec-managerial,10,Married-civ-spouse,0,Some-college,0,40,Private,Wife,Other,Female,<=50K
48, 48, 47,Honduras,51835,Prof-specialty,15,Married-civ-spouse,0,Prof-school,1902,60,Private,Wife,White,Female,>50K
49, 49, 50,United-States,251585,Exec-managerial,13,Divorced,0,Bachelors,0,55,Federal-gov,Not-in-family,White,Male,>50K
50, 50, 47,United-States,109832,Exec-managerial,9,Divorced,0,HS-grad,0,60,Self-emp-inc,Not-in-family,White,Male,<=50K
51, 51, 43,United-States,237993,Tech-support,10,Married-civ-spouse,0,Some-college,0,40,Private,Husband,White,Male,>50K
52, 52, 46,Mexico,216666,Machine-op-inspct,3,Married-civ-spouse,0,5th-6th,0,40,Private,Husband,White,Male,<=50K
53, 53, 35,Puerto-Rico,56352,Other-service,11,Married-civ-spouse,0,Assoc-voc,0,40,Private,Husband,White,Male,<=50K
54, 54, 41,United-States,147372,Adm-clerical,9,Married-civ-spouse,0,HS-grad,0,48,Private,Husband,White,Male,<=50K
55, 55, 30,United-States,188146,Machine-op-inspct,9,Married-civ-spouse,5013,HS-grad,0,40,Private,Husband,White,Male,<=50K
56, 56, 30,United-States,59496,Sales,13,Married-civ-spouse,2407,Bachelors,0,40,Private,Husband,White,Male,<=50K
57, 57, 48,United-States,149640,Transport-moving,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
