pid, time, native-country, occupation, marital-status, education, hours-per-week, capital-loss, capital-gain, education-num, fnlwgt, age, workclass, relationship, race, sex, income
0, 0,United-States,Adm-clerical,Never-married,Bachelors,40,0,2174,13,77516, 39,State-gov,Not-in-family,White,Male,<=50K
1, 1,United-States,Exec-managerial,Married-civ-spouse,Bachelors,13,0,0,13,83311, 50,Self-emp-not-inc,Husband,White,Male,<=50K
2, 2,United-States,Handlers-cleaners,Divorced,HS-grad,40,0,0,9,215646, 38,Private,Not-in-family,White,Male,<=50K
3, 3,United-States,Handlers-cleaners,Married-civ-spouse,11th,40,0,0,7,234721, 53,Private,Husband,Black,Male,<=50K
4, 4,Cuba,Prof-specialty,Married-civ-spouse,Bachelors,40,0,0,13,338409, 28,Private,Wife,Black,Female,<=50K
5, 5,United-States,Exec-managerial,Married-civ-spouse,Masters,40,0,0,14,284582, 37,Private,Wife,White,Female,<=50K
6, 6,Jamaica,Other-service,Married-spouse-absent,9th,16,0,0,5,160187, 49,Private,Not-in-family,Black,Female,<=50K
7, 7,United-States,Exec-managerial,Married-civ-spouse,HS-grad,45,0,0,9,209642, 52,Self-emp-not-inc,Husband,White,Male,>50K
8, 8,United-States,Prof-specialty,Never-married,Masters,50,0,14084,14,45781, 31,Private,Not-in-family,White,Female,>50K
9, 9,United-States,Exec-managerial,Married-civ-spouse,Bachelors,40,0,5178,13,159449, 42,Private,Husband,White,Male,>50K
10, 10,United-States,Exec-managerial,Married-civ-spouse,Some-college,80,0,0,10,280464, 37,Private,Husband,Black,Male,>50K
11, 11,India,Prof-specialty,Married-civ-spouse,Bachelors,40,0,0,13,141297, 30,State-gov,Husband,Asian-Pac-Islander,Male,>50K
12, 12,United-States,Adm-clerical,Never-married,Bachelors,30,0,0,13,122272, 23,Private,Own-child,White,Female,<=50K
13, 13,United-States,Sales,Never-married,Assoc-acdm,50,0,0,12,205019, 32,Private,Not-in-family,Black,Male,<=50K
14, 14,Mexico,Transport-moving,Married-civ-spouse,7th-8th,45,0,0,4,245487, 34,Private,Husband,Amer-Indian-Eskimo,Male,<=50K
15, 15,United-States,Farming-fishing,Never-married,HS-grad,35,0,0,9,176756, 25,Self-emp-not-inc,Own-child,White,Male,<=50K
16, 16,United-States,Machine-op-inspct,Never-married,HS-grad,40,0,0,9,186824, 32,Private,Unmarried,White,Male,<=50K
17, 17,United-States,Sales,Married-civ-spouse,11th,50,0,0,7,28887, 38,Private,Husband,White,Male,<=50K
18, 18,United-States,Exec-managerial,Divorced,Masters,45,0,0,14,292175, 43,Self-emp-not-inc,Unmarried,White,Female,>50K
19, 19,United-States,Prof-specialty,Married-civ-spouse,Doctorate,60,0,0,16,193524, 40,Private,Husband,White,Male,>50K
20, 20,United-States,Other-service,Separated,HS-grad,20,0,0,9,302146, 54,Private,Unmarried,Black,Female,<=50K
21, 21,United-States,Farming-fishing,Married-civ-spouse,9th,40,0,0,5,76845, 35,Federal-gov,Husband,Black,Male,<=50K
22, 22,United-States,Transport-moving,Married-civ-spouse,11th,40,2042,0,7,117037, 43,Private,Husband,White,Male,<=50K
23, 23,United-States,Tech-support,Divorced,HS-grad,40,0,0,9,109015, 59,Private,Unmarried,White,Female,<=50K
24, 24,United-States,Tech-support,Married-civ-spouse,Bachelors,40,0,0,13,216851, 56,Local-gov,Husband,White,Male,>50K
25, 25,United-States,Craft-repair,Never-married,HS-grad,40,0,0,9,168294, 19,Private,Own-child,White,Male,<=50K
26, 26,United-States,Exec-managerial,Divorced,HS-grad,80,0,0,9,367260, 39,Private,Not-in-family,White,Male,<=50K
27, 27,United-States,Craft-repair,Married-civ-spouse,HS-grad,40,0,0,9,193366, 49,Private,Husband,White,Male,<=50K
28, 28,United-States,Protective-serv,Never-married,Assoc-acdm,52,0,0,12,190709, 23,Local-gov,Not-in-family,White,Male,<=50K
29, 29,United-States,Sales,Never-married,Some-college,44,0,0,10,266015, 20,Private,Own-child,Black,Male,<=50K
30, 30,United-States,Exec-managerial,Divorced,Bachelors,40,1408,0,13,386940, 45,Private,Own-child,White,Male,<=50K
31, 31,United-States,Adm-clerical,Married-civ-spouse,Some-college,40,0,0,10,59951, 30,Federal-gov,Own-child,White,Male,<=50K
32, 32,United-States,Other-service,Married-civ-spouse,Some-college,15,0,0,10,311512, 22,State-gov,Husband,Black,Male,<=50K
33, 33,Puerto-Rico,Machine-op-inspct,Never-married,11th,40,0,0,7,242406, 48,Private,Unmarried,White,Male,<=50K
34, 34,United-States,Machine-op-inspct,Never-married,Some-college,40,0,0,10,197200, 21,Private,Own-child,White,Male,<=50K
35, 35,United-States,Adm-clerical,Married-AF-spouse,HS-grad,25,0,0,9,544091, 19,Private,Wife,White,Female,<=50K
36, 36,United-States,Prof-specialty,Married-civ-spouse,Assoc-acdm,40,0,0,12,265477, 48,Self-emp-not-inc,Husband,White,Male,<=50K
