pid, time, education-num, age, hours-per-week, capital-loss, capital-gain, fnlwgt, sex, race, relationship, marital-status, workclass, occupation, education, native-country, income
0, 0,13, 39,40,0,2174,77516,Male,White,Not-in-family,Never-married,State-gov,Adm-clerical,Bachelors,United-States,<=50K
1, 1,13, 50,13,0,0,83311,Male,White,Husband,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,Bachelors,United-States,<=50K
2, 2,9, 38,40,0,0,215646,Male,White,Not-in-family,Divorced,Private,Handlers-cleaners,HS-grad,United-States,<=50K
3, 3,7, 53,40,0,0,234721,Male,Black,Husband,Married-civ-spouse,Private,Handlers-cleaners,11th,United-States,<=50K
4, 4,13, 28,40,0,0,338409,Female,Black,Wife,Married-civ-spouse,Private,Prof-specialty,Bachelors,Cuba,<=50K
5, 5,14, 37,40,0,0,284582,Female,White,Wife,Married-civ-spouse,Private,Exec-managerial,Masters,United-States,<=50K
6, 6,5, 49,16,0,0,160187,Female,Black,Not-in-family,Married-spouse-absent,Private,Other-service,9th,Jamaica,<=50K
7, 7,9, 52,45,0,0,209642,Male,White,Husband,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,HS-grad,United-States,>50K
8, 8,14, 31,50,0,14084,45781,Female,White,Not-in-family,Never-married,Private,Prof-specialty,Masters,United-States,>50K
9, 9,13, 42,40,0,5178,159449,Male,White,Husband,Married-civ-spouse,Private,Exec-managerial,Bachelors,United-States,>50K
10, 10,10, 37,80,0,0,280464,Male,Black,Husband,Married-civ-spouse,Private,Exec-managerial,Some-college,United-States,>50K
11, 11,13, 30,40,0,0,141297,Male,Asian-Pac-Islander,Husband,Married-civ-spouse,State-gov,Prof-specialty,Bachelors,India,>50K
12, 12,13, 23,30,0,0,122272,Female,White,Own-child,Never-married,Private,Adm-clerical,Bachelors,United-States,<=50K
13, 13,12, 32,50,0,0,205019,Male,Black,Not-in-family,Never-married,Private,Sales,Assoc-acdm,United-States,<=50K
14, 14,4, 34,45,0,0,245487,Male,Amer-Indian-Eskimo,Husband,Married-civ-spouse,Private,Transport-moving,7th-8th,Mexico,<=50K
15, 15,9, 25,35,0,0,176756,Male,White,Own-child,Never-married,Self-emp-not-inc,Farming-fishing,HS-grad,United-States,<=50K
16, 16,9, 32,40,0,0,186824,Male,White,Unmarried,Never-married,Private,Machine-op-inspct,HS-grad,United-States,<=50K
17, 17,7, 38,50,0,0,28887,Male,White,Husband,Married-civ-spouse,Private,Sales,11th,United-States,<=50K
18, 18,14, 43,45,0,0,292175,Female,White,Unmarried,Divorced,Self-emp-not-inc,Exec-managerial,Masters,United-States,>50K
19, 19,16, 40,60,0,0,193524,Male,White,Husband,Married-civ-spouse,Private,Prof-specialty,Doctorate,United-States,>50K
20, 20,9, 54,20,0,0,302146,Female,Black,Unmarried,Separated,Private,Other-service,HS-grad,United-States,<=50K
21, 21,5, 35,40,0,0,76845,Male,Black,Husband,Married-civ-spouse,Federal-gov,Farming-fishing,9th,United-States,<=50K
22, 22,7, 43,40,2042,0,117037,Male,White,Husband,Married-civ-spouse,Private,Transport-moving,11th,United-States,<=50K
23, 23,9, 59,40,0,0,109015,Female,White,Unmarried,Divorced,Private,Tech-support,HS-grad,United-States,<=50K
24, 24,13, 56,40,0,0,216851,Male,White,Husband,Married-civ-spouse,Local-gov,Tech-support,Bachelors,United-States,>50K
25, 25,9, 19,40,0,0,168294,Male,White,Own-child,Never-married,Private,Craft-repair,HS-grad,United-States,<=50K
26, 26,9, 39,80,0,0,367260,Male,White,Not-in-family,Divorced,Private,Exec-managerial,HS-grad,United-States,<=50K
27, 27,9, 49,40,0,0,193366,Male,White,Husband,Married-civ-spouse,Private,Craft-repair,HS-grad,United-States,<=50K
28, 28,12, 23,52,0,0,190709,Male,White,Not-in-family,Never-married,Local-gov,Protective-serv,Assoc-acdm,United-States,<=50K
29, 29,10, 20,44,0,0,266015,Male,Black,Own-child,Never-married,Private,Sales,Some-college,United-States,<=50K
30, 30,13, 45,40,1408,0,386940,Male,White,Own-child,Divorced,Private,Exec-managerial,Bachelors,United-States,<=50K
31, 31,10, 30,40,0,0,59951,Male,White,Own-child,Married-civ-spouse,Federal-gov,Adm-clerical,Some-college,United-States,<=50K
32, 32,10, 22,15,0,0,311512,Male,Black,Husband,Married-civ-spouse,State-gov,Other-service,Some-college,United-States,<=50K
33, 33,7, 48,40,0,0,242406,Male,White,Unmarried,Never-married,Private,Machine-op-inspct,11th,Puerto-Rico,<=50K
34, 34,10, 21,40,0,0,197200,Male,White,Own-child,Never-married,Private,Machine-op-inspct,Some-college,United-States,<=50K
35, 35,9, 19,25,0,0,544091,Female,White,Wife,Married-AF-spouse,Private,Adm-clerical,HS-grad,United-States,<=50K
36, 36,12, 48,40,0,0,265477,Male,White,Husband,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,Assoc-acdm,United-States,<=50K
37, 37,5, 31,43,0,0,507875,Male,White,Husband,Married-civ-spouse,Private,Machine-op-inspct,9th,United-States,<=50K
38, 38,13, 53,40,0,0,88506,Male,White,Husband,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,Bachelors,United-States,<=50K
39, 39,13, 24,50,0,0,172987,Male,White,Husband,Married-civ-spouse,Private,Tech-support,Bachelors,United-States,<=50K
40, 40,9, 49,40,0,0,94638,Female,White,Unmarried,Separated,Private,Adm-clerical,HS-grad,United-States,<=50K
41, 41,9, 25,35,0,0,289980,Male,White,Not-in-family,Never-married,Private,Handlers-cleaners,HS-grad,United-States,<=50K
42, 42,13, 57,40,0,0,337895,Male,Black,Husband,Married-civ-spouse,Federal-gov,Prof-specialty,Bachelors,United-States,>50K
43, 43,9, 53,38,0,0,144361,Male,White,Husband,Married-civ-spouse,Private,Machine-op-inspct,HS-grad,United-States,<=50K
44, 44,14, 44,40,0,0,128354,Female,White,Unmarried,Divorced,Private,Exec-managerial,Masters,United-States,<=50K
45, 45,11, 41,40,0,0,101603,Male,White,Husband,Married-civ-spouse,State-gov,Craft-repair,Assoc-voc,United-States,<=50K
46, 46,11, 29,43,0,0,271466,Male,White,Not-in-family,Never-married,Private,Prof-specialty,Assoc-voc,United-States,<=50K
47, 47,10, 25,40,0,0,32275,Female,Other,Wife,Married-civ-spouse,Private,Exec-managerial,Some-college,United-States,<=50K
48, 48,15, 47,60,1902,0,51835,Female,White,Wife,Married-civ-spouse,Private,Prof-specialty,Prof-school,Honduras,>50K
49, 49,13, 50,55,0,0,251585,Male,White,Not-in-family,Divorced,Federal-gov,Exec-managerial,Bachelors,United-States,>50K
50, 50,9, 47,60,0,0,109832,Male,White,Not-in-family,Divorced,Self-emp-inc,Exec-managerial,HS-grad,United-States,<=50K
51, 51,10, 43,40,0,0,237993,Male,White,Husband,Married-civ-spouse,Private,Tech-support,Some-college,United-States,>50K
52, 52,3, 46,40,0,0,216666,Male,White,Husband,Married-civ-spouse,Private,Machine-op-inspct,5th-6th,Mexico,<=50K
53, 53,11, 35,40,0,0,56352,Male,White,Husband,Married-civ-spouse,Private,Other-service,Assoc-voc,Puerto-Rico,<=50K
54, 54,9, 41,48,0,0,147372,Male,White,Husband,Married-civ-spouse,Private,Adm-clerical,HS-grad,United-States,<=50K
55, 55,9, 30,40,0,5013,188146,Male,White,Husband,Married-civ-spouse,Private,Machine-op-inspct,HS-grad,United-States,<=50K
56, 56,13, 30,40,0,2407,59496,Male,White,Husband,Married-civ-spouse,Private,Sales,Bachelors,United-States,<=50K
57, 57,9, 48,40,0,0,149640,Male,White,Husband,Married-civ-spouse,Private,Transport-moving,HS-grad,United-States,<=50K
58, 58,16, 42,45,0,0,116632,Male,White,Husband,Married-civ-spouse,Private,Prof-specialty,Doctorate,United-States,>50K
59, 59,10, 29,58,0,0,105598,Male,White,Not-in-family,Divorced,Private,Tech-support,Some-college,United-States,<=50K
60, 60,9, 36,40,0,0,155537,Male,White,Husband,Married-civ-spouse,Private,Craft-repair,HS-grad,United-States,<=50K
61, 61,10, 28,40,0,0,183175,Female,White,Not-in-family,Divorced,Private,Adm-clerical,Some-college,United-States,<=50K
62, 62,9, 53,40,0,0,169846,Female,White,Wife,Married-civ-spouse,Private,Adm-clerical,HS-grad,United-States,>50K
63, 63,10, 49,50,0,0,191681,Male,White,Husband,Married-civ-spouse,Self-emp-inc,Exec-managerial,Some-college,United-States,>50K
64, 64,10, 19,32,0,0,101509,Male,White,Own-child,Never-married,Private,Prof-specialty,Some-college,United-States,<=50K
65, 65,13, 31,40,0,0,309974,Female,Black,Own-child,Separated,Private,Sales,Bachelors,United-States,<=50K
66, 66,13, 29,70,0,0,162298,Male,White,Husband,Married-civ-spouse,Self-emp-not-inc,Sales,Bachelors,United-States,>50K
67, 67,10, 23,40,0,0,211678,Male,White,Not-in-family,Never-married,Private,Machine-op-inspct,Some-college,United-States,<=50K
68, 68,10, 79,20,0,0,124744,Male,White,Other-relative,Married-civ-spouse,Private,Prof-specialty,Some-college,United-States,<=50K
69, 69,9, 27,40,0,0,213921,Male,White,Own-child,Never-married,Private,Other-service,HS-grad,Mexico,<=50K
70, 70,12, 40,40,0,0,32214,Male,White,Husband,Married-civ-spouse,Private,Adm-clerical,Assoc-acdm,United-States,<=50K
71, 71,7, 18,22,0,0,309634,Female,White,Own-child,Never-married,Private,Other-service,11th,United-States,<=50K
72, 72,4, 31,40,0,0,125927,Male,White,Husband,Married-civ-spouse,Local-gov,Farming-fishing,7th-8th,United-States,<=50K
73, 73,9, 18,30,0,0,446839,Male,White,Not-in-family,Never-married,Private,Sales,HS-grad,United-States,<=50K
74, 74,13, 52,40,0,0,276515,Male,White,Husband,Married-civ-spouse,Private,Other-service,Bachelors,Cuba,<=50K
75, 75,9, 46,40,0,0,51618,Female,White,Wife,Married-civ-spouse,Private,Other-service,HS-grad,United-States,<=50K
76, 76,9, 59,48,0,0,159937,Male,White,Husband,Married-civ-spouse,Private,Sales,HS-grad,United-States,<=50K
77, 77,9, 44,40,0,14344,343591,Female,White,Not-in-family,Divorced,Private,Craft-repair,HS-grad,United-States,>50K
78, 78,9, 53,35,0,0,346253,Female,White,Own-child,Divorced,Private,Sales,HS-grad,United-States,<=50K
79, 79,9, 49,40,0,0,268234,Male,White,Husband,Married-civ-spouse,Local-gov,Protective-serv,HS-grad,United-States,>50K
80, 80,14, 33,50,0,0,202051,Male,White,Husband,Married-civ-spouse,Private,Prof-specialty,Masters,United-States,<=50K
81, 81,5, 30,40,0,0,54334,Male,White,Not-in-family,Never-married,Private,Sales,9th,United-States,<=50K
82, 82,16, 43,50,0,0,410867,Female,White,Not-in-family,Never-married,Federal-gov,Prof-specialty,Doctorate,United-States,>50K
83, 83,11, 57,40,0,0,249977,Male,White,Husband,Married-civ-spouse,Private,Prof-specialty,Assoc-voc,United-States,<=50K
84, 84,10, 37,40,0,0,286730,Female,White,Unmarried,Divorced,Private,Craft-repair,Some-college,United-States,<=50K
85, 85,10, 28,25,0,0,212563,Female,Black,Unmarried,Divorced,Private,Machine-op-inspct,Some-college,United-States,<=50K
86, 86,13, 34,40,0,0,226296,Male,White,Husband,Married-civ-spouse,Local-gov,Protective-serv,Bachelors,United-States,>50K
87, 87,10, 29,50,0,0,115585,Male,White,Not-in-family,Never-married,Local-gov,Handlers-cleaners,Some-college,United-States,<=50K
88, 88,16, 48,60,1902,0,191277,Male,White,Husband,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,Doctorate,United-States,>50K
89, 89,10, 37,48,0,0,202683,Male,White,Husband,Married-civ-spouse,Private,Sales,Some-college,United-States,>50K
90, 90,12, 48,40,0,0,171095,Female,White,Unmarried,Divorced,Private,Exec-managerial,Assoc-acdm,England,<=50K
91, 91,9, 32,40,0,0,249409,Male,Black,Own-child,Never-married,Federal-gov,Other-service,HS-grad,United-States,<=50K
92, 92,14, 76,40,0,0,124191,Male,White,Husband,Married-civ-spouse,Private,Exec-managerial,Masters,United-States,>50K
93, 93,13, 44,60,0,15024,198282,Male,White,Husband,Married-civ-spouse,Private,Exec-managerial,Bachelors,United-States,>50K
94, 94,14, 47,50,0,0,149116,Female,White,Not-in-family,Never-married,Self-emp-not-inc,Prof-specialty,Masters,United-States,<=50K
95, 95,10, 20,40,0,0,188300,Female,White,Own-child,Never-married,Private,Tech-support,Some-college,United-States,<=50K
96, 96,9, 29,40,0,0,103432,Male,White,Not-in-family,Never-married,Private,Craft-repair,HS-grad,United-States,<=50K
97, 97,9, 32,40,0,7688,317660,Male,White,Husband,Married-civ-spouse,Self-emp-inc,Craft-repair,HS-grad,United-States,>50K
98, 98,7, 30,40,0,0,194901,Male,White,Own-child,Never-married,Private,Handlers-cleaners,11th,United-States,<=50K
99, 99,9, 31,40,0,0,189265,Female,White,Not-in-family,Never-married,Local-gov,Adm-clerical,HS-grad,United-States,<=50K
100, 100,9, 42,40,0,0,124692,Male,White,Husband,Married-civ-spouse,Private,Handlers-cleaners,HS-grad,United-States,<=50K
101, 101,13, 24,40,0,0,432376,Male,White,Other-relative,Never-married,Private,Sales,Bachelors,United-States,<=50K
102, 102,15, 38,40,0,0,65324,Male,White,Husband,Married-civ-spouse,Private,Prof-specialty,Prof-school,United-States,>50K
103, 103,9, 56,50,1887,0,335605,Male,White,Husband,Married-civ-spouse,Self-emp-not-inc,Other-service,HS-grad,Canada,>50K
104, 104,10, 28,25,0,4064,377869,Female,White,Wife,Married-civ-spouse,Private,Sales,Some-college,United-States,<=50K
